333059,1,102162
333059,1,102163
333059,2,113003
333067,1,102190
333067,2,113012
333067,2,113013
333086,1,107159
333086,2,102122
333091,1,107258
333091,2,113000
333099,1,107165
333099,2,102127
333110,1,107168
333110,2,102135
333153,1,105700
333153,2,107255
333158,1,105592
333158,2,102127
333168,1,105599
333168,2,102135
334183,1,137221
334183,2,102122
334190,1,137354
334190,2,107255
334198,1,137233
334198,2,102133
334202,1,137238
334202,2,102135
334210,1,138817
334210,2,102122
334218,1,138879
334218,2,107255
334222,1,138823
334222,2,102127
334230,1,138830
334230,1,138831
334230,2,102135
393490,1,102125
393490,2,112352
393507,1,107254
393507,2,112352
393546,1,105794
393546,2,112352
393547,1,105795
393547,2,112352
393553,1,105799
393553,2,112354
393637,1,112991
393637,2,112351
393641,1,113004
393641,2,112353
393643,1,113008
393643,2,112354
393950,1,137407
393950,2,112352
393953,1,137412
393953,2,112354
402327,1,112766
402327,2,102770
402332,1,112773
402332,2,102773
402339,1,112784
402339,2,102776
402343,1,112790
402343,2,102779
402346,1,112793
402346,1,112794
402346,2,102782
402350,1,112805
402350,2,102784
402376,1,112030
402376,1,112031
402376,2,113577
402382,1,111888
402382,2,102773
402388,1,111892
402388,2,102776
402391,1,111939
402391,2,107478
402397,1,112046
402397,2,113583
402398,1,111895
402398,2,102784
403125,1,133430
403125,2,112415
403128,1,133431
403128,2,112417
403468,1,144143
403468,2,112415
403472,1,144158
403472,2,113579
403474,1,144060
403474,2,102776
403479,1,144148
403479,2,112417
403481,1,144062
403481,1,144063
403481,2,102782
403485,1,144167
403485,2,113583
403486,1,144066
403486,2,102784
403488,1,144067
403488,2,102766
405211,1,112773
405211,2,102800
405214,1,112784
405214,2,102802
405214,2,102803
405217,1,112793
405217,1,112794
405217,2,102807
405219,1,112805
405219,2,102809
405235,1,111886
405235,2,102795
405236,1,111886
405236,2,102796
405241,1,111888
405241,2,102800
405250,1,111892
405250,2,102802
405250,2,102803
405253,1,111939
405253,2,107492
405258,1,111895
405258,2,102809
405963,1,144060
405963,2,102802
405963,2,102803
405970,1,144066
405970,2,102809
405971,1,144067
405971,2,102796
420730,1,102136
420730,1,102137
420730,2,113705
420735,1,102148
420735,2,113712
420736,1,102125
420736,2,112516
420739,1,102162
420739,1,102163
420739,2,113715
420745,1,102173
420745,2,113719
420747,1,102129
420747,2,112526
420751,1,102190
420751,2,113721
420782,1,107486
420782,2,139353
420783,1,107258
420783,2,113712
420785,1,107254
420785,2,112516
420791,1,107165
420791,2,102929
420792,1,107487
420792,2,139355
420798,1,107489
420798,2,139356
420887,1,105802
420887,2,113712
420888,1,105794
420888,2,112516
420893,1,105805
420893,2,113715
420894,1,106266
420894,2,139355
420903,1,105595
420903,2,102932
420911,1,105799
420911,2,112526
420912,1,105812
420912,2,113721
421176,1,112991
421176,2,112513
421177,1,112998
421177,2,112516
421179,1,113004
421179,2,112524
421180,1,113008
421180,2,112526
421181,1,113010
421181,2,112527
422233,1,137221
422233,2,102923
422233,2,102924
422240,1,137415
422240,2,113712
422241,1,137407
422241,2,112516
422249,1,137228
422249,2,102929
422262,1,137412
422262,2,112526
422263,1,137423
422263,2,113721
422277,1,138821
422277,2,102927
422281,1,138823
422281,2,102929
